"iteration","n_tot","n_rba","est_tot_DU","est_rba_DU","sd_tot_DU","sd_rba_DU","CoV_tot_DU","CoV_rba_DU","frcAct","ba_DU"
1,5,5,396.631249255233,58.8463401957503,40.2457764466152,4.65612726699131,0.101469000544425,0.0791234807721749,0.001,233.402974259389
2,5,5,409.040670535623,60.2611790909648,11.4430846708975,4.85267421338247,0.0279754202825681,0.0805273691385512,0.001,246.492731026355
3,5,5,416.218010463615,57.1743098382522,33.4151352045743,3.31025164942866,0.0802827709626357,0.0578975357777551,0.001,237.969774905076
4,5,5,420.421766275522,56.3456172859315,11.5421134523527,7.42539314571442,0.0274536533981179,0.131782976270071,0.001,236.889239412359
5,5,5,409.689824012416,58.7268055248909,36.0625133645378,4.11324879444911,0.0880239421407861,0.0700403973566336,0.001,240.597746203039
6,5,5,448.757102803271,59.0553208708643,29.0176219819153,3.33463067156362,0.0646622010006072,0.056466218833277,0.001,265.014946991266
7,5,5,397.524684465469,58.8317652381509,50.6508637832438,5.30828455013521,0.127415644267101,0.0902282045872206,0.001,233.870789128425
8,5,5,380.043525272883,58.380550033655,34.0641659865709,5.61185581463075,0.0896322755718881,0.0961254358068853,0.001,221.871500421602
9,5,5,378.258430307196,57.1053914099473,19.4117266105513,2.08807605090053,0.0513186886404262,0.0365653049448639,0.001,216.005957168047
10,5,5,413.189383262552,60.7252533882875,34.0023011861733,6.47138870780084,0.0822922915339462,0.106568327783199,0.001,250.910299959687
11,5,5,414.470603175308,59.6044761565241,33.3505005073778,3.19869595467351,0.0804652977843922,0.0536653647667935,0.001,247.043031845428
12,5,5,392.256494533142,58.1802762943091,13.3053255154616,3.43126210010559,0.0339199623228609,0.0589763802899167,0.001,228.215912301753
13,5,5,384.780581604899,58.3329311042226,23.3635901031492,1.78079117983205,0.0607192546092137,0.0305280592989634,0.001,224.453791570013
14,5,5,417.889144177243,59.8972234084904,43.2036160209759,3.65344619541551,0.103385351409491,0.0609952513240811,0.001,250.303994287672
15,5,5,394.348653764907,60.994562853327,42.415091240792,2.05180033540646,0.107557337487649,0.033639069441983,0.001,240.531237481885
16,5,5,434.674536893101,57.3830807465087,64.1105732219054,5.09450033271457,0.147490979527223,0.0887805301918114,0.001,249.429640489881
17,5,5,398.913957284206,60.6871219985377,25.4411219889615,3.4563287856686,0.0637759635239737,0.0569532492536371,0.001,242.089399926261
18,5,5,420.310824730518,57.9186658193853,52.7154392998607,3.16365826278984,0.125420132430944,0.0546224298856513,0.001,243.438421978371
19,5,5,415.60070916663,59.496152843258,23.0058552517194,2.47351793545776,0.0553556689011699,0.041574418130433,0.001,247.266433143442
20,5,5,396.79134838726,61.5437557502283,25.8640251526881,4.93511047026274,0.0651829362152456,0.0801886464370422,0.001,244.200298289493
21,5,5,431.227548219583,60.8490008063295,35.0835463852936,2.40288312892853,0.0813573866747237,0.0394892783297533,0.001,262.397654293249
22,5,5,421.281982877709,60.9535125045192,40.5401354403067,3.38536878539648,0.0962304040713624,0.0555401755583074,0.001,256.786166112651
23,5,5,425.918260815154,59.4102505091764,31.6327362108364,5.89731293433601,0.0742694998573092,0.0992642327509649,0.001,253.03910571461
24,5,5,390.60762597137,58.1229862900389,16.4719044149105,4.78110132588475,0.0421699509167233,0.082258356479253,0.001,227.032816891185
25,5,5,417.45001595542,56.4037545401641,39.6713445120174,5.41095102560661,0.0950325619732494,0.0959324617610972,0.001,235.457482327371
26,5,5,410.688970479579,60.7082864521697,19.773876927317,6.20750131976352,0.0481480593555415,0.102251301799701,0.001,249.32223662621
27,5,5,412.908885551954,57.0176262377331,54.0810415194026,3.27006357003331,0.130975727119822,0.0573518012903394,0.001,235.430845066402
28,5,5,415.620185116278,58.9440774442902,34.3662947033265,3.03960328071711,0.0826867797426919,0.0515675774820623,0.001,244.983483789041
29,5,5,411.913592457779,56.7291830728863,51.2363980971891,3.43663623101339,0.124386276722444,0.060579688351901,0.001,233.675215967476
30,5,5,411.667783524878,60.0057144770295,30.7576360546185,6.28707620572513,0.0747147026936581,0.104774624558997,0.001,247.024194775854
31,5,5,436.997585801842,60.8883098356979,47.6783573306723,4.83907140663576,0.10910439526385,0.0794745562767894,0.001,266.080444017545
32,5,5,430.280756222505,56.5944379119321,67.2478930366502,2.57690449614905,0.156288404870878,0.045532822503848,0.001,243.514975427337
33,5,5,413.019596159884,58.5896614055414,12.8640794792846,4.07067039645845,0.0311464143563416,0.0694776228229482,0.001,241.98678292861
34,5,5,399.726570345485,58.25501840613,38.0590672255965,3.51066528491163,0.0952127530394137,0.0602637400341498,0.001,232.860787128954
35,5,5,391.955494280079,59.7953641669797,22.8673892935997,4.17327570695909,0.0583418006057069,0.069792629664486,0.001,234.371215177259
36,5,5,389.88868366236,59.4381736682019,24.2046244332881,4.26411920859591,0.0620808590952824,0.0717404143740896,0.001,231.7427129079
37,5,5,397.304039445326,58.376084654946,36.9408901660477,6.26956169565911,0.0929788939916661,0.107399489580669,0.001,231.930542404123
38,5,5,403.26913176704,58.6769990407992,46.7390021796011,1.00126380579013,0.11590027229409,0.0170639913792103,0.001,236.626224578785
39,5,5,409.584260700639,60.8180144551101,18.8045621114189,4.30438327973787,0.0459113396575631,0.0707748077325829,0.001,249.101014878771
40,5,5,406.909033047534,56.3141093201607,31.441573125385,2.05118377993677,0.0772692925735862,0.0364239762414645,0.001,229.147197703997
41,5,5,408.072940313253,60.055450273032,52.2726343364127,3.53033256541584,0.128096301353102,0.0587845491019678,0.001,245.070041747525
42,5,5,387.74411647933,59.9622968553277,55.500410111279,4.07824637863329,0.143136691834852,0.0680135116984088,0.001,232.500278162404
43,5,5,399.912227901256,61.0614037124453,22.0430369970262,1.46259321821938,0.0551196874191827,0.0239528266514659,0.001,244.19201997422
44,5,5,426.887619657929,60.8575403903529,37.9204615063026,3.60284610279073,0.0888300802367818,0.0592013098078123,0.001,259.79330555474
