"iteration","n_tot","n_rba","est_tot_DU","est_rba_DU","sd_tot_DU","sd_rba_DU","CoV_tot_DU","CoV_rba_DU","frcAct","ba_DU"
68,5,5,379.306479759977,56.8313886202604,49.1444770844466,5.23841875307712,0.129564032535234,0.0921747449825575,-0.08,215.565139574222
69,5,5,366.015184815383,59.6893948613976,21.2130958053951,2.15829176287383,0.0579568736092054,0.0361587140879132,-0.08,218.472248917128
70,5,5,362.085693884538,58.8836903956734,14.1244003912808,5.04423257693125,0.0390084464253503,0.0856643417393874,-0.08,213.209418953997
71,5,5,372.632542068605,60.3864541499946,49.9305242958007,2.27973941014486,0.133993998534374,0.0377524966854684,-0.08,225.019579164217
72,5,5,376.678239596888,56.4297152896549,33.01842828085,2.1809691621921,0.0876568508873397,0.038649302960278,-0.08,212.558458162608
73,5,5,360.606955532179,62.5901850174668,24.6685163202095,3.9915681988004,0.0684083208650374,0.063773069175087,-0.08,225.704560653445
74,5,5,343.444962815782,60.3443336172736,51.5769179906297,5.17486415951089,0.150175205854729,0.0857555937618239,-0.08,207.249574153277
75,5,5,386.469348485512,61.7658979641729,27.6286922595021,4.28214996834526,0.0714899962125661,0.0693287090366453,-0.08,238.706263448365
76,5,5,368.191033887114,57.3059059754678,23.2522305381533,4.17092540625838,0.0631526256700819,0.0727835174273996,-0.08,210.995207689452
77,5,5,380.944941833695,58.1227827582696,23.6457176634678,2.08002769532392,0.06207122097395,0.0357867878414334,-0.08,221.415800970615
78,5,5,366.16182457343,61.8128765271155,7.74412697132472,3.95441025372415,0.0211494657596992,0.06397389145916,-0.08,226.335156513007
79,5,5,362.684123824395,58.7197099841763,21.1939406069512,3.36413930576685,0.0584363616015707,0.0572914836717248,-0.08,212.967065668335
80,5,5,362.31491997098,59.2937086372575,35.2428431971566,2.93103991647001,0.097271299785224,0.0494325617984413,-0.08,214.829952996905
81,5,5,384.859861411409,57.0497545866271,16.8289328183293,2.90720732126545,0.0437274304382173,0.0509591556060248,-0.08,219.561606437642
82,5,5,383.381618016201,56.9412246213051,9.31089624441245,6.37570106739984,0.0242862354553968,0.111969862077998,-0.08,218.302188271399
83,5,5,367.205626639308,58.0095039597238,44.2920756898811,1.32157030484471,0.120619272899616,0.0227819618275357,-0.08,213.014162525658
84,5,5,372.983616052838,61.8537793249249,16.4050703403238,3.08430064933349,0.043983353783561,0.0498643847311465,-0.08,230.704462791448
85,5,5,388.425191384362,61.0979702739335,14.9669740229291,3.33339136011902,0.0385324493748366,0.0545581358132475,-0.08,237.319907968487
86,5,5,368.986331726454,58.4450750963328,18.9330971627877,3.97380556412944,0.0513111070380343,0.0679921371917063,-0.08,215.65433867273
87,5,5,355.643348174603,61.2033190172984,20.286603356159,4.63554171964688,0.0570419873175846,0.0757400381887248,-0.08,217.665532947104
88,5,5,391.792753638958,57.9760322442927,25.3118470086992,3.01256389024719,0.0646051943881135,0.0519622294529091,-0.08,227.145893180525
89,5,5,368.473577261222,59.9656800380143,18.5037834622362,4.47457815755984,0.0502173957757582,0.0746189846379337,-0.08,220.95768636509
90,5,5,379.93338725528,54.4799299139729,37.7684519715072,4.88794315334608,0.0994080889925327,0.0897200705115524,-0.08,206.98744309646
91,5,5,343.436142674966,59.2050660483281,12.2751660293395,3.84952677015226,0.035742207950888,0.0650202259213756,-0.08,203.331595104544
92,5,5,373.700036299941,58.0057037406972,14.7658889305955,4.25378986201067,0.0395126772713076,0.0733339928264017,-0.08,216.767335935022
93,5,5,360.069478895091,55.0099225673264,28.5545931388115,3.77707541416523,0.0793030090371283,0.0686617111584275,-0.08,198.073941528766
94,5,5,362.897018069037,56.8221513794298,40.1333555177427,3.90765818028017,0.110591582513659,0.0687699794079739,-0.08,206.205892958625
95,5,5,379.270652463609,56.3412553626021,22.85630714022,2.72349866955387,0.0602638432258163,0.0483393323777741,-0.08,213.685846819929
96,5,5,361.194192703226,60.7416026442891,18.6581016360405,3.76158232191227,0.0516567043794385,0.0619276107010313,-0.08,219.395141306042
97,5,5,376.235791891104,59.6808259282848,25.3711415213713,3.78533164566112,0.0674341518488881,0.0634262610609603,-0.08,224.540628038433
98,5,5,376.276626567701,60.10384669598,22.6660115145327,4.39302046021639,0.0602376281548133,0.0730905042141041,-0.08,226.156726785056
99,5,5,382.936322416555,57.3317566249863,58.0512899589981,2.29455144027357,0.15159515188494,0.0400223466949128,-0.08,219.544120396532
100,5,5,399.782101418162,58.5316038966314,35.0039893485837,4.36099509309458,0.0875576701018198,0.0745066733656612,-0.08,233.998876051708
101,5,5,375.220664832891,61.2785428246633,26.6908959524753,7.13834227510555,0.0711338645603713,0.116490078681057,-0.08,229.92975578661
102,5,5,387.779728498659,58.7114196392037,44.0859471038105,1.17239218757462,0.113688116896918,0.0199687249052955,-0.08,227.670983674612
103,5,5,394.609864275873,61.3921427697113,19.9012776970121,3.84004729794047,0.0504327932438584,0.0625494912654362,-0.08,242.259451259607
104,5,5,377.012141068066,61.0570407954651,41.1702082801488,6.24540717685899,0.109201279734691,0.102288075142398,-0.08,230.192456775785
105,5,5,373.929416073781,57.5701515298018,36.0713091629426,7.00300271146202,0.0964655563653898,0.121642943875818,-0.08,215.271731448179
106,5,5,371.891608434901,58.6011139561148,54.4860790104097,4.61759029891298,0.146510643893562,0.0787969713744862,-0.08,217.932625252165
107,5,5,378.033758537735,60.1562048802934,28.6249198102649,5.48507086298593,0.075720538612711,0.0911804671504931,-0.08,227.410762302634
108,5,5,363.614878476659,59.8644344590051,36.5588508595818,4.34052117909049,0.100542780352506,0.0725058412113267,-0.08,217.675990608851
109,5,5,367.435845415316,55.7825252319237,47.1150974998252,4.86778975630148,0.128226731517091,0.0872637037506453,-0.08,204.964993179931
110,5,5,358.378320456213,58.3472514339245,30.401859537117,2.47368379568972,0.0848317484674174,0.0423958924353284,-0.08,209.103899721263
111,5,5,382.390208472267,54.2403200622095,34.1619124385599,5.32303311066027,0.0893378326161755,0.0981379369545599,-0.08,207.409672961908
112,5,5,388.642213915006,60.3862728572743,13.648948331654,4.83846759710006,0.0351195723031748,0.0801252895428071,-0.08,234.686547733267
113,5,5,380.165876558387,58.959489412809,31.7041721702754,4.5239536699577,0.0833956283959276,0.0767298651160786,-0.08,224.143859740555
114,5,5,340.742957757385,59.7153506799549,26.9119940269101,4.17175916797932,0.0789803381529367,0.0698607497147243,-0.08,203.475852142073
115,5,5,403.322305139223,62.2065939947113,22.9857623465505,3.64334361628851,0.0569910517064412,0.0585684472067102,-0.08,250.893068848067
116,5,5,376.721321426351,63.3015576671967,39.2282009004227,3.90886600874769,0.104130556645682,0.061749918213676,-0.08,238.470464527327
117,5,5,392.194682011003,56.5535920487815,53.5545186214893,3.54911449767999,0.136550853639537,0.0627566591105058,-0.08,221.800180501518
118,5,5,384.880682170634,59.3530161154517,30.8983925329899,2.74941894884394,0.0802804452505397,0.046323154723862,-0.08,228.438293313997
119,5,5,389.305071978259,57.3853556832443,17.110019120002,2.11391023427455,0.0439501572200362,0.0368371025866409,-0.08,223.404100247634
120,5,5,378.515353165121,59.9565649492934,27.3293131139561,3.66491488873742,0.0722013331439008,0.0611261651136438,-0.08,226.944803563493
121,5,5,371.866317053642,60.2639583420834,11.1926734061577,3.49423312910375,0.0300986480701964,0.0579821376695673,-0.08,224.101362397447
122,5,5,378.011824913777,61.907880501863,25.0535453968063,5.72359064059794,0.0662771472890323,0.0924533451024172,-0.08,234.019108850533
123,5,5,391.491825917902,55.6382865126641,29.8907841653082,4.35471817459129,0.0763509789641852,0.0782683732289291,-0.08,217.819343777863
124,5,5,399.728832850013,59.2178975697952,24.6210618102781,6.85366476210378,0.0615944104775562,0.115736374362598,-0.08,236.711010794058
125,5,5,379.151637935376,54.4685774907156,19.5492005422134,1.85518081287776,0.0515603747584112,0.0340596523416456,-0.08,206.518503716148
126,5,5,349.748090905087,61.6027132248836,33.8859030248204,3.26754875214224,0.0968865989722192,0.0530422863066745,-0.08,215.454313449766
127,5,5,349.964494944509,61.6574069690474,41.0089745836722,1.82683848649603,0.117180385942222,0.0296288568770517,-0.08,215.779032895107
128,5,5,413.343368739236,58.3520215922423,25.3341265375773,4.56653206593111,0.0612907535322278,0.0782583352097302,-0.08,241.194211776821
129,5,5,393.74018702188,58.8763448479806,33.4683236865828,4.96043173885988,0.0850010356822504,0.0842516931318982,-0.08,231.819830316086
130,5,5,385.492715964367,59.5172403972972,24.513597277836,2.39298602228108,0.0635902995378568,0.0402066024282563,-0.08,229.434626474582
131,5,5,392.291248990956,59.185225974309,23.2890082862162,3.73440483537539,0.0593666270815872,0.0630969093029468,-0.08,232.178462192737
132,5,5,382.964677229801,55.8883473908401,53.8685360915768,3.04851581890985,0.140661892060747,0.0545465371804766,-0.08,214.0326291944
133,5,5,380.086074544851,58.0751697546676,38.2092525597806,1.47655998006287,0.100527893860715,0.0254249791485835,-0.08,220.735633005774
134,5,5,384.220581911357,59.0398701730653,34.1685326322095,2.20734621669225,0.0889294697911121,0.037387382631801,-0.08,226.843332738661
135,5,5,359.791387128539,57.2292388720045,36.0217573642676,5.06683059358117,0.100118453784438,0.0885356977211132,-0.08,205.90587238069
136,5,5,361.864720856161,57.4837915029588,35.9582553915613,4.8693881063239,0.0993693314631091,0.0847088888712788,-0.08,208.013561659719
137,5,5,360.862720059799,60.3364962250209,24.8144530448632,3.40100850818554,0.0687642465277409,0.0563673517849249,-0.08,217.731921466388
138,5,5,378.143043204708,59.4356210430352,42.8816701397849,5.94010829408824,0.113400658587737,0.0999418898943987,-0.08,224.751666159751
139,5,5,392.912410284431,58.974997726455,42.7979318011142,5.27499193819016,0.108924866410131,0.0894445466985393,-0.08,231.720085032203
140,5,5,394.858590215697,56.3051973025972,73.6690138085125,3.32467471531395,0.186570624608343,0.0590473859357311,-0.08,222.325908287202
141,5,5,367.044778075485,56.0691134491601,17.2674953573936,5.46791855572746,0.0470446560987237,0.0975210453556649,-0.08,205.798753028362
142,5,5,360.81815401888,58.4049009367398,19.8411409015734,3.22508824988815,0.0549893088265599,0.0552194798409358,-0.08,210.7354854165
143,5,5,388.33865961135,59.279572037485,14.5272321756981,8.62211741059925,0.0374086684808487,0.145448374781571,-0.08,230.205495473714
144,5,5,362.706503528069,57.2011611390352,9.88455868076318,2.0236053664916,0.027252223449581,0.0353769980573114,-0.08,207.472331544851
145,5,5,361.821513503136,59.7357965172496,32.9183551417365,5.79875206759548,0.0909795407769506,0.0970733196119851,-0.08,216.136963061866
146,5,5,380.616195843307,59.11484933983,43.2722487551544,1.85242137964325,0.113689982790351,0.0313359739613705,-0.08,225.000690735763
147,5,5,357.089557006595,56.899397387978,33.6556040571349,2.95584709186267,0.094249757229706,0.0519486537213695,-0.08,203.181806072153
148,5,5,369.059774658821,58.9043292615502,43.6919891977069,3.19847842851055,0.11838729712036,0.0542995475648062,-0.08,217.392184836967
149,5,5,377.207546635199,60.8958174943619,18.9045927572352,3.30160113736286,0.0501172177647815,0.054217206915213,-0.08,229.703619173931
150,5,5,383.647015732329,61.7511934044373,40.7187718522475,3.75139321469023,0.106136031775253,0.0607501330398688,-0.08,236.906610675222
151,5,5,348.208044004686,57.7959866764896,29.7715147322931,3.81298295720347,0.0854992158994824,0.0659731440964313,-0.08,201.250274719413
152,5,5,376.946485125028,56.5537241751469,11.7721334849941,2.06653535900591,0.0312302513739832,0.0365411012121121,-0.08,213.17727548552
153,5,5,373.575676147986,57.9744083052165,23.2045719078487,4.67459332214548,0.062114782598042,0.0806320143456275,-0.08,216.578287819007
154,5,5,357.378197393477,60.9217084399481,44.9274760722795,2.08249744238008,0.125714093360916,0.0341831753525567,-0.08,217.720903443996
155,5,5,361.662902086991,56.0032223734726,24.6411354263292,3.48027112970992,0.068132880879229,0.062144122823876,-0.08,202.542879298132
156,5,5,384.911565348919,58.9933383941983,23.6603336931633,3.48115670254528,0.0614695317656028,0.059009318633299,-0.08,227.072182264694
157,5,5,376.463835287502,59.9202430089087,26.7915863692334,3.07259120728063,0.0711664278423264,0.0512780164597099,-0.08,225.578044944929
158,5,5,377.161075594983,58.2926555303457,35.99192335594,3.79925196508448,0.0954285202924551,0.0651754827519685,-0.08,219.85720659113
159,5,5,369.055539140481,60.5833723024594,30.1927872733518,2.93324442334608,0.0818109581654563,0.048416658100543,-0.08,223.586291280326
160,5,5,387.563926630933,58.7807109860526,26.8076317993659,6.16497277946592,0.0691695742490868,0.104880881432835,-0.08,227.812831599126
161,5,5,370.484885994462,58.9361100631143,43.3833747698063,3.46513480641599,0.117098905811922,0.0587947661069792,-0.08,218.3493801769
162,5,5,365.348913007654,58.0832440232548,24.4382459016418,4.91292970032468,0.066890156317859,0.084584285587728,-0.08,212.206500678544
163,5,5,394.789700928251,57.0577941412581,9.40046482515145,2.95203943855432,0.0238113223395863,0.0517377070562165,-0.08,225.25829484653
164,5,5,376.394273472181,58.5028298263439,42.1800163741932,3.98080538969432,0.112063384984816,0.0680446638480684,-0.08,220.201301285533
165,5,5,369.236283023367,56.0677443497142,33.132084522371,3.34102069121472,0.0897313889390287,0.0595889977377295,-0.08,207.022455211929
166,5,5,378.421294782423,57.4008077805308,39.5763162395277,3.28131564492933,0.104582688091807,0.0571649733131854,-0.08,217.216880018654
167,5,5,391.440937150417,57.3165399161158,30.1243916841671,3.81419205392338,0.0769576935500525,0.0665460975052846,-0.08,224.360400989836
168,5,5,369.975463110509,59.34901443694,29.3937858658776,3.628656639726,0.0794479331649568,0.06114097553518,-0.08,219.576791014591
169,5,5,372.225787224436,61.3535092564918,25.6362546527981,2.70709233807593,0.0688728603248021,0.0441228606298424,-0.08,228.373582819794
170,5,5,386.953877373971,59.2355580477557,29.10455783889,4.9799186325531,0.075214539873345,0.0840697512892221,-0.08,229.2142886499
171,5,5,393.587051598843,57.082160823192,33.961235946557,4.43049198870762,0.0862864665100095,0.0776160524551753,-0.08,224.667993772911
172,5,5,371.20175719408,57.9583577760539,36.3930609078755,2.63324971709131,0.0980411870433244,0.045433477036495,-0.08,215.142442505544
173,5,5,383.858714924106,59.0471173697723,43.2994038527797,5.88019667772595,0.112800366825957,0.0995848220820372,-0.08,226.657505935337
174,5,5,395.456745126307,62.0063584050685,24.298809077694,5.4617124812691,0.0614449225538765,0.0880831034389958,-0.08,245.208326720036
175,5,5,394.697961224241,59.3440592750019,13.605710221248,5.14792010241374,0.0344711945788799,0.0867470167242545,-0.08,234.229792066137
176,5,5,367.620484999456,58.0273955844147,37.391400958111,3.0956175253952,0.101711962428226,0.0533475179131877,-0.08,213.320593079978
177,5,5,364.539984140119,58.7508744969306,44.4641523296409,5.36946044800193,0.121973320524835,0.091393711055015,-0.08,214.170428573292
178,5,5,383.139386330705,57.1694476486377,68.6473614094586,4.52132151172629,0.179170724437623,0.079086324911065,-0.08,219.038670889644
179,5,5,366.7344857886,60.7562405352264,19.0459534930141,2.12206707484183,0.0519339037670784,0.0349275573364593,-0.08,222.814086311347
180,5,5,375.349516673658,58.8061708833516,33.5843645205137,2.95311619669228,0.0894749107928469,0.0502177943629437,-0.08,220.728678184945
181,5,5,356.405052439086,56.0605870638573,43.6414227419301,4.01753761036874,0.122448945219117,0.0716642086853721,-0.08,199.8027647226
182,5,5,340.226633400873,57.4445446011638,25.650106896475,3.19469137027547,0.0753912374233579,0.0556134858837535,-0.08,195.441640169002
183,5,5,392.257103220879,59.1910421516181,42.6639731779668,1.71781410227007,0.108765329748389,0.0290215214976259,-0.08,232.181067310187
184,5,5,368.900594247171,58.9568182542571,34.2931019312955,6.32538936893308,0.092960278367886,0.107288513122506,-0.08,217.492052889179
185,5,5,360.851178888875,56.3962754429848,28.2602492145896,4.05132077987098,0.0783155241493403,0.0718366726889042,-0.08,203.506624785428
186,5,5,390.61146504979,58.3385603127432,39.5007990410543,2.74696748884578,0.101125549492049,0.047086652020889,-0.08,227.877105126562
187,5,5,383.135869232972,57.9613932228907,41.4543409730443,1.88354854880587,0.108197494157973,0.032496605827998,-0.08,222.070887744064
188,5,5,370.811790689927,59.644127403022,41.4932769402292,4.28564848209021,0.111898483225216,0.0718536538078864,-0.08,221.167456864527
189,5,5,366.175060122414,56.947035746535,22.8963372877909,2.91856156993848,0.062528390874399,0.0512504563526129,-0.08,208.525842382807
190,5,5,382.388599430188,62.6250641219459,42.0302214346785,1.95820399957865,0.109914943848507,0.0312686945240577,-0.08,239.471105588166
191,5,5,352.550861851609,59.532642707903,40.8277005601399,3.54789622473744,0.115806554395333,0.0595958127064038,-0.08,209.882844949751
192,5,5,397.797732036889,61.0819492847662,33.2315714947309,4.03726229110171,0.0835388661583651,0.0660958325393292,-0.08,242.982608938723
193,5,5,364.939678264616,57.5623280995577,30.6603500837578,4.02791396390878,0.0840148438491419,0.0699748272332252,-0.08,210.067774968149
194,5,5,373.002043511514,62.6771569145888,22.9618756094473,2.68226221104443,0.0615596509694148,0.0427948927980187,-0.08,233.787076106334
195,5,5,386.676694248565,57.3243494126781,46.06782309962,2.23208444573706,0.119137832160131,0.0389378068587971,-0.08,221.65989930844
196,5,5,368.607903012331,57.1808610165217,36.989171891367,4.70860114712947,0.100348287676647,0.0823457545658325,-0.08,210.773172717396
197,5,5,384.666393222308,59.1057735080686,31.5262932987653,3.13092499757629,0.0819574931791494,0.0529715594898506,-0.08,227.360047139634
198,5,5,379.380822969304,58.5170212343928,18.6201903403357,4.0491811445816,0.0490804732685245,0.069196638160415,-0.08,222.002356736162
199,5,5,335.605134540614,58.7731725197743,17.387809727877,3.81728124177965,0.051810320934684,0.0649493821436188,-0.08,197.245784708776
200,5,5,372.823544782644,57.0837668490271,43.0064607742795,1.27736288265239,0.115353392713843,0.0223769900474633,-0.08,212.821723062003
201,5,5,385.49016406144,59.1690038652686,11.514988405827,5.32155980246728,0.0298710303902638,0.0899383030781588,-0.08,228.090690073744
202,5,5,345.969014058663,60.9468882586611,19.3360306883345,3.98210952045392,0.0558894869268722,0.0653373721649854,-0.08,210.857348407925
203,5,5,383.840784285818,61.8849569744105,29.550267879085,4.47622339639762,0.0769857427580729,0.0723313647652456,-0.08,237.539704205518
204,5,5,366.22048403273,58.0487907301365,13.9666174527174,2.52348433697749,0.0381371825489399,0.0434717813280372,-0.08,212.586562387053
205,5,5,373.133801874067,57.5491749951278,23.1768288967499,5.62335498515821,0.0621139890847306,0.0977139113746512,-0.08,214.73542460648
206,5,5,384.452276476899,59.3385726687676,22.4520024714146,4.2451231463224,0.0583999727538712,0.0715407020323694,-0.08,228.128493453976
207,5,5,377.988841625229,59.2019570733001,19.8519588928902,2.00629653748415,0.0525199601330377,0.0338890238881814,-0.08,223.776791760832
208,5,5,395.261622394621,60.0471933901143,33.9803749207994,4.93070725440398,0.085969325114175,0.0821138670440464,-0.08,237.343510796201
