"","sim.num","sample.num","tru.rba","tru.ivb","meas.ivb"
"1",1,1,60.3557916211365,71.9428150582421,70.5978737515967
"2",2,1,59.7481843880668,71.2507794852697,70.2147619514527
"3",3,1,59.0687417985702,70.4769268776426,70.251842348023
"4",4,1,57.9153566710318,69.1632763906968,66.0755699533767
"5",5,1,57.8146575169235,69.0485848712113,62.5241473889232
"6",6,1,58.5356487005367,69.869759340019,67.0086065705194
"7",7,1,60.3200318702215,71.902086412553,76.4879367304745
"8",8,1,60.012379413342,71.5516849810273,69.064170909618
"9",9,1,58.4816138817709,69.8082162662539,68.5570943749832
"10",10,1,60.3024609587215,71.8820739848764,72.8565764119822
"11",11,1,57.1158340825008,68.2526584083152,68.1508143901734
"12",12,1,59.5039741932387,70.9726357553971,70.627449167032
"13",13,1,60.1336689255121,71.6898279333851,65.6831296000181
"14",14,1,57.158201619975,68.3009130068053,69.6935573823234
"15",15,1,63.8744229190685,75.9503677893719,78.7690276393416
"16",16,1,60.4358408917784,72.0339873482669,70.1304483319222
"17",17,1,56.6754472997046,67.7510789290485,69.3629352720963
"18",18,1,58.641847654412,69.9907148683508,69.5431067705777
"19",19,1,58.793621004892,70.1635774543189,81.9428102823676
"20",20,1,57.5696890823239,68.7695775425101,70.8100916645583
"21",21,1,63.2572082396283,75.2473897945653,79.6795886382133
"22",22,1,58.4211154504634,69.7393114469971,65.7832583102462
"23",23,1,61.2780905038678,72.993269366592,76.9085156920938
"24",24,1,58.8342292443402,70.209828296515,72.3112824572391
"25",25,1,61.9245034103656,73.7295027452911,72.3796861140363
"26",26,1,61.7604775537782,73.5426851409774,75.0965593875046
"27",27,1,59.9346634959995,71.4631702687921,66.0313090069359
"28",28,1,59.0500614023997,70.4556507999997,63.3375618746496
"29",29,1,58.6128604197561,69.9576997947108,67.7439798814253
"30",30,1,55.596842306953,66.5225994384431,67.5476839274589
"31",31,1,61.7735160712879,73.5575353887106,74.465758356821
"32",32,1,60.7516005075041,72.3936224459045,71.7609071732067
"33",33,1,60.7303109309354,72.3693746366006,72.6010106798015
"34",34,1,60.7743954024611,72.419584740844,74.0649488299372
"35",35,1,63.1103871076992,75.0801675486324,75.7142074008921
"36",36,1,51.3811630473901,61.7211424229956,60.1725644265639
"37",37,1,62.5087519538767,74.3949338882422,73.2651918630446
"38",38,1,56.5384927221282,67.5950942165469,63.3842159784294
"39",39,1,61.4262571999749,73.1620241457573,74.675395254896
"40",40,1,62.2228415394827,74.0692956030554,74.8049704107885
"41",41,1,61.0349053419593,72.7162931001815,74.4400828755101
"42",42,1,58.0762344404192,69.3465084742815,69.4539150037314
"43",43,1,61.0373896628082,72.7191226227884,69.712677830507
"44",44,1,61.3862442647874,73.1164513266371,72.4942855832197
"45",45,1,59.7487145854018,71.2513833546717,70.4959340867186
"46",46,1,59.6458848205679,71.1342651714896,69.0190296363083
"47",47,1,61.9929051945519,73.8074091054122,73.4549542026635
"48",48,1,60.6295772252998,72.2546437645783,66.9079656467614
"49",49,1,60.8661187312854,72.5240532246986,76.1695889715721
"50",50,1,61.7700298081253,73.5535647017373,71.1678294682793
"51",51,1,57.1805600334086,68.3263781701692,68.4408469694854
"52",52,1,62.9849695551093,74.9373229557054,68.3423765941469
"53",53,1,63.172277365132,75.1506575912665,78.0996384464778
"54",54,1,63.1230188471745,75.0945544956429,78.8541643949412
"55",55,1,62.787204349978,74.7120778473554,77.2107780808976
"56",56,1,61.1027828746976,72.7936023629814,72.0244239042854
"57",57,1,63.1488682351503,75.1239957120163,79.3348255789372
"58",58,1,58.9568584738954,70.3494971228877,74.274409559363
"59",59,1,60.4692599966372,72.0720501100652,78.4238742110766
"60",60,1,61.047857062615,72.7310444904499,74.6838105067783
"61",61,1,59.5469327777986,71.0215635282445,72.3041256831322
"62",62,1,58.3917704909111,69.7058889418122,67.4334890672276
"63",63,1,61.0824622692917,72.7704581654803,71.3219528222375
"64",64,1,61.5561973352188,73.310019743985,64.7949046123284
"65",65,1,57.5719065568911,68.7721031399671,63.2780337204495
"66",66,1,59.4656891684648,70.9290309435818,74.016465455858
"67",67,1,63.4384106448925,75.4537706661646,73.7248636098311
"68",68,1,62.7801062547897,74.7039934564803,70.4247826192332
