"","sim.num","sample.num","tru.tot","meas.tot"
"1",1,1,163.744257251521,137.466136225089
"2",1,2,240.295900771496,237.178167774272
"3",1,3,479.347771953123,480.125070344148
"4",1,4,207.693071022989,200.897694503746
"5",2,1,193.842417062445,207.661609651608
"6",2,2,211.375340063851,220.59489975654
"7",2,3,152.524634180186,143.213920975226
"8",2,4,198.764119635425,177.585992883076
"9",3,1,213.034715767499,215.877398909998
"10",3,2,131.481262166269,131.545505682863
"11",3,3,325.793347271285,318.843095774463
"12",3,4,366.652933040215,364.11307570369
"13",4,1,193.321074607447,168.279099342376
"14",4,2,276.043842588899,276.057407413567
"15",4,3,239.765429698651,246.027508628839
"16",4,4,422.815817638234,421.430919891804
"17",5,1,197.335190500787,203.3601498354
"18",5,2,219.228049740068,216.150172628721
"19",5,3,152.449680448827,136.019000633982
"20",5,4,219.82709975658,225.320898282048
"21",6,1,228.292495484465,244.103041427539
"22",6,2,148.765331196895,149.670308920303
"23",6,3,308.897962021331,295.461590573061
"24",6,4,304.156661573204,300.341535395199
"25",7,1,323.573273982343,304.977641107731
"26",7,2,209.03534398882,201.10972595403
"27",7,3,308.202368552197,312.650875005371
"28",7,4,230.258197818018,219.968071393602
"29",8,1,303.64190918141,294.568727235008
"30",8,2,133.916642230236,118.224385140006
"31",8,3,351.543909378534,345.914585869796
"32",8,4,192.685273333065,188.059150261259
"33",9,1,294.332394680467,287.788200764908
"34",9,2,313.455932666474,325.820639240135
"35",9,3,259.109286060106,252.113611335272
"36",9,4,299.800745003732,302.935482808064
"37",10,1,285.210643606011,299.018522308009
"38",10,2,294.540706741938,298.785573671205
"39",10,3,254.027105161919,256.962415129109
"40",10,4,205.942363065407,212.799576629536
"41",11,1,423.88099969502,417.114822836691
"42",11,2,272.384585611578,271.140600363905
"43",11,3,163.396819587746,160.045262646924
"44",11,4,301.946693258194,337.217589764712
"45",12,1,219.174103188187,207.947019590815
"46",12,2,401.570745568696,397.025737664554
"47",12,3,239.672880717027,229.026560353225
"48",12,4,265.306633798941,270.769104110753
"49",13,1,271.938561999297,271.770131061032
"50",13,2,333.567665235168,324.88684960461
"51",13,3,208.270679431413,211.967821462601
"52",13,4,115.672786310046,86.3441352502957
"53",14,1,249.811117136525,225.167646598063
"54",14,2,141.970890834856,119.933704319048
"55",14,3,281.169040834825,294.133521830138
"56",14,4,255.652276669008,282.550615736053
"57",15,1,185.230114838005,170.986050289022
"58",15,2,458.689949350647,468.790079044814
"59",15,3,187.790936068927,190.925085817465
"60",15,4,113.339285446564,91.7814584072829
"61",16,1,296.280389571188,276.359381574996
"62",16,2,279.334927979045,267.035562762856
"63",16,3,388.081982757662,387.745699548143
"64",16,4,279.299573928662,273.938536000858
"65",17,1,325.252346689852,316.56414235253
"66",17,2,247.067007759041,235.11188510611
"67",17,3,590.831658753948,568.430706583446
"68",17,4,217.364450922693,209.285749910548
"69",18,1,184.638038114957,175.971668776386
"70",18,2,164.517118404823,171.352737427463
"71",18,3,304.735648685493,303.111809269373
"72",18,4,375.117021255934,377.328186415618
"73",19,1,186.001548550831,173.049133735677
"74",19,2,160.588999969569,137.434697727476
"75",19,3,194.423367976049,195.606571012361
"76",19,4,136.869131708749,129.058281866387
"77",20,1,120.585450342204,143.828698749493
"78",20,2,466.586053071717,471.649625681632
"79",20,3,183.495610984067,191.715237557902
"80",20,4,260.083772811392,255.862822630798
"81",21,1,277.346306813821,272.223889528754
"82",21,2,198.25962822792,188.922392284165
"83",21,3,311.786985407085,310.932045224457
"84",21,4,215.939529435967,217.831822464539
"85",22,1,263.335420568385,262.5147845747
"86",22,2,233.104887851859,253.665406481283
"87",22,3,239.552860760418,254.508632671362
"88",22,4,306.642446779068,299.828904738362
"89",23,1,127.424048713322,113.127215756098
"90",23,2,163.859587676651,171.830536438518
"91",23,3,199.6521766182,219.08469583727
"92",23,4,157.783081940596,162.733184822302
"93",24,1,155.366056638124,168.652564916081
"94",24,2,258.433609527339,229.531262157877
"95",24,3,317.772471890517,310.034523623228
"96",24,4,261.201232508372,251.168006019895
"97",25,1,311.872419238178,299.175595150128
"98",25,2,242.72117782371,243.243795136754
"99",25,3,191.972853545616,182.56397091407
"100",25,4,346.99404191292,340.551899358384
"101",26,1,222.46474054017,238.069522447768
"102",26,2,390.024496146223,404.417991059087
"103",26,3,265.165866892402,244.991929247592
"104",26,4,492.702799352266,471.760518816049
"105",27,1,231.855129025299,234.522801037653
"106",27,2,181.93439043738,163.464371522188
"107",27,3,557.947846212909,559.695632443649
"108",27,4,326.820226932392,311.590844836781
"109",28,1,379.367072456098,396.419730283811
"110",28,2,261.146557727625,241.668216485233
"111",28,3,151.471885265506,132.775955172772
"112",28,4,246.298401756436,260.766294389145
"113",29,1,428.322279474597,435.230789564851
"114",29,2,200.107352402596,201.978810384472
"115",29,3,256.019445958985,264.470542853085
"116",29,4,493.887871274029,493.418526930323
"117",30,1,292.399998179787,285.66643234699
"118",30,2,273.943378341414,295.670578684566
"119",30,3,543.778707526287,540.34419530963
"120",30,4,186.223820346594,193.414206656109
"121",31,1,211.410700873251,211.623616699907
"122",31,2,209.274585840164,202.764181729676
"123",31,3,210.062387300739,201.282788476134
"124",31,4,227.524345613405,229.804660925944
"125",32,1,247.166220973359,219.342480869659
"126",32,2,230.702217998107,245.867019883514
"127",32,3,181.810352604968,196.921033590072
"128",32,4,167.267126036929,166.555885500886
"129",33,1,206.349095078246,218.023981582532
"130",33,2,257.486934222404,252.655911884144
"131",33,3,231.806167016534,214.284637486523
"132",33,4,219.657254326607,239.143710301654
"133",34,1,308.796082096744,295.861988438718
"134",34,2,304.100638501578,287.084878239161
"135",34,3,303.172105000539,299.001430495636
"136",34,4,268.08005366582,273.402999413173
"137",35,1,317.824681958889,319.017432780873
"138",35,2,166.153214493841,174.418579549467
"139",35,3,191.323311900863,175.961780527246
"140",35,4,442.252539167131,441.743492418277
"141",36,1,212.8295702869,233.05156309602
"142",36,2,316.165966085007,312.835256114444
"143",36,3,299.530128804657,301.864743619398
"144",36,4,342.101829484475,327.637735422985
"145",37,1,242.990419844145,239.276387043761
"146",37,2,486.829550154066,479.071847360378
"147",37,3,274.236576206364,277.248689098925
"148",37,4,207.834685666202,204.366767885589
"149",38,1,164.771581365803,148.383723743771
"150",38,2,236.279007477821,224.470751126853
"151",38,3,169.8577765246,158.158552949368
"152",38,4,254.896632857669,280.834886004813
"153",39,1,163.975795223882,181.81705890658
"154",39,2,290.318905123029,263.363805184161
"155",39,3,235.799105034718,222.783731198862
"156",39,4,154.217606544595,156.983204569027
"157",40,1,234.386559283577,234.106218403503
"158",40,2,309.907611751088,321.859753335949
"159",40,3,302.413461157047,309.967771719776
"160",40,4,250.03020953255,241.470982514994
"161",41,1,555.245579290771,559.390904236045
"162",41,2,450.662600563872,463.328919773015
"163",41,3,449.002713034768,437.565890370565
"164",41,4,225.097404861338,236.092465712724
"165",42,1,234.672709635548,222.536959526678
"166",42,2,280.329939024989,271.737846868011
"167",42,3,409.09888835992,415.111853729243
