"","sim.num","sample.num","tru.tot","meas.tot"
"3655",914,3,829.28624663326,768.006068924005
"3656",914,4,1106.46078031742,1163.05273807408
"3657",915,1,689.019745599342,696.21267347235
"3658",915,2,984.546880227921,971.006658157634
"3659",915,3,792.826013903051,776.212004406254
"3660",915,4,371.43123726329,390.968741437178
"3661",916,1,573.824149831383,544.792380075836
"3662",916,2,1031.58657253298,1047.85588984538
"3663",916,3,1035.29189484033,1090.69019738291
"3664",916,4,700.583130018824,662.002063868978
"3665",917,1,807.464838370463,769.999589262452
"3666",917,2,965.343020516192,959.154815574355
"3667",917,3,661.887452957583,638.716562607082
"3668",917,4,826.161599006303,817.603236943423
"3669",918,1,538.287978505257,576.269637675555
"3670",918,2,1058.46778749854,1027.24626133927
"3671",918,3,979.85987846192,943.656134110228
"3672",918,4,806.84760035481,754.820082854998
"3673",919,1,916.24869240799,919.606838270978
"3674",919,2,554.730084127492,608.957759063881
"3675",919,3,630.206650028659,637.156080476045
"3676",919,4,723.03538351036,764.014184905289
"3677",920,1,755.832983450826,817.866583073013
"3678",920,2,620.463785228731,569.723251817884
"3679",920,3,544.952851640708,653.132938338507
"3680",920,4,1228.30899631909,1292.37196943516
"3681",921,1,574.74462690435,568.655323126474
"3682",921,2,945.386495536729,958.006060444746
"3683",921,3,1435.29502275652,1496.43295148764
"3684",921,4,1249.93187993507,1254.61824205973
"3685",922,1,1040.07055787568,962.256225696046
"3686",922,2,915.443606601345,812.957780069691
"3687",922,3,798.121683540446,837.224228457543
"3688",922,4,865.339369662148,942.244038642032
"3689",923,1,1061.16065944715,1058.29367044787
"3690",923,2,814.804715792655,794.304312351458
"3691",923,3,1663.39429106949,1715.56622339597
"3692",923,4,1381.21689878395,1346.70101571722
"3693",924,1,736.797106345362,661.043973291007
"3694",924,2,651.683902700924,648.507091433425
"3695",924,3,606.846311026989,639.563475415108
"3696",924,4,1081.82058275244,1029.55531101055
"3697",925,1,1110.97235852304,1088.52637503723
"3698",925,2,690.042384865562,693.401838584033
"3699",925,3,750.745397721434,859.822808707049
"3700",925,4,588.906747369089,593.560983674126
"3701",926,1,670.459882544929,705.961844720606
"3702",926,2,1599.46664548676,1632.95649593084
"3703",926,3,781.106699562332,693.61493444723
"3704",926,4,868.302071308955,863.295054844492
"3705",927,1,1056.32388011566,1034.47684069134
"3706",927,2,453.479831838841,404.828065571045
"3707",927,3,776.861775277879,752.14691573281
"3708",927,4,601.908428667249,562.212129021366
"3709",928,1,892.203341745743,892.88237619308
"3710",928,2,1049.51114092775,1055.18977792476
"3711",928,3,1529.07205233537,1507.16046398116
"3712",928,4,851.66586131217,723.509424385664
"3713",929,1,662.473954880792,623.7507459793
"3714",929,2,824.812896304019,792.679464011496
"3715",929,3,560.526729889658,552.77080004356
"3716",929,4,664.883484952646,645.51660987599
"3717",930,1,741.35899128246,707.444726005098
"3718",930,2,781.413713979418,784.03050800385
"3719",930,3,1019.32853233059,1046.90550871658
"3720",930,4,444.509552170112,419.778444098766
"3721",931,1,648.258555583049,798.967692387859
"3722",931,2,832.71663358659,816.131156576928
"3723",931,3,538.760941579392,628.499016803586
"3724",931,4,917.745105368553,967.13573062142
"3725",932,1,611.939716809595,594.275520693231
"3726",932,2,598.838295968376,601.873332074146
"3727",932,3,1052.63627506157,1033.78992131122
"3728",932,4,1309.48078969258,1278.01242475071
"3729",933,1,815.616364195079,777.0056926339
"3730",933,2,714.204799193372,698.349351913321
"3731",933,3,1048.79254733451,1031.64419933879
"3732",933,4,937.555791674505,981.301789508993
"3733",934,1,1032.09960606204,987.71060506751
"3734",934,2,1077.51340523825,1144.33574810001
"3735",934,3,359.68760923709,316.350209840093
"3736",934,4,546.937264042016,521.785906966404
"3737",935,1,736.287949316729,723.284056512836
"3738",935,2,1115.19315782246,1157.56816713348
"3739",935,3,569.511568551973,530.334449893309
"3740",935,4,1414.1886147329,1460.15894338298
"3741",936,1,751.502295121558,693.782966821027
"3742",936,2,567.891537911629,530.039607297911
"3743",936,3,806.380450801596,789.286422000312
"3744",936,4,858.21074508124,814.454518927303
"3745",937,1,572.918306227324,575.616022922094
"3746",937,2,707.792119258616,748.974974578788
"3747",937,3,717.82876005587,732.177360303107
"3748",937,4,725.634690205676,725.449252826707
"3749",938,1,397.016302667384,406.233864902658
"3750",938,2,1082.72963506923,1131.21756165444
"3751",938,3,524.956118746314,553.522614284843
"3752",938,4,889.845737240521,940.216072005201
"3753",939,1,895.19837965567,787.206312442868
"3754",939,2,818.663683615304,820.900241166229
"3755",939,3,675.334359391219,694.802976447446
"3756",939,4,637.577856231056,639.258299919752
"3757",940,1,565.622463131282,547.277045518353
"3758",940,2,840.856212938675,796.857412330503
"3759",940,3,911.615978528211,963.325501370257
"3760",940,4,811.354527642153,778.303924353442
"3761",941,1,801.020340336818,771.925345658319
"3762",941,2,596.040833563551,657.383680334064
"3763",941,3,678.763879692273,646.331315019497
"3764",941,4,730.999413842166,728.431281459536
"3765",942,1,601.168505086643,645.721446560917
"3766",942,2,1625.63837276386,1596.62152871978
"3767",942,3,1070.5007157492,1076.80341648749
"3768",942,4,584.846212563208,623.756098063658
"3769",943,1,531.386616654208,474.109191865151
