"","sim.num","sample.num","tru.rba","tru.ivb","meas.ivb"
"1",1,1,36.6056771051332,44.8925707347759,45.2248573086356
"2",1,2,36.7458796039965,45.0522546742557,45.9199000251626
"3",1,3,33.4630529733688,41.3132721792355,41.0341511024656
"4",1,4,29.2845492303442,36.5541562987975,38.5784975418482
"5",2,1,4.9262380791722,8.81120510156287,10.6747454093276
"6",2,2,41.3165948237037,50.2580806648106,49.0036025282287
"7",2,3,13.3866901634874,18.447255311489,17.8370354522038
"8",2,4,12.5599630696037,17.5056526988653,20.5895071872813
"9",3,1,38.3520880109192,46.8816492151699,45.7214418388076
"10",3,2,35.1822401692649,43.2713441563381,41.9715906822727
"11",3,3,31.4879277250909,39.0636990035204,41.4399021035548
"12",3,4,33.1290384615475,40.9328456281863,40.3863397346188
"13",4,1,32.2630050179703,39.9464749635197,41.4100783465369
"14",4,2,34.1516986574218,42.0976066713232,44.354972656952
"15",4,3,35.2469258654876,43.3450180700314,45.7741027688041
"16",4,4,26.8779657323157,33.8131728158493,30.8065167765899
"17",5,1,23.4944020186111,29.9594556020628,33.1482389807771
"18",5,2,19.7032421706489,25.6415058891217,25.803445809361
"19",5,3,43.5422709642491,52.7930193214683,52.75438322134
"20",5,4,19.811462752586,25.7647639551093,25.170159252492
"21",6,1,32.3786356405009,40.0781727112767,42.7568939633405
"22",6,2,39.6157358107348,48.3208836113153,51.2696008127618
"23",6,3,32.3034260608385,39.992512597766,41.2729850354904
"24",6,4,34.6356027320232,42.6487502642634,43.5848673955244
"25",7,1,8.70848877425922,13.1190077155572,12.3129157107987
"26",7,2,27.5769696828162,34.6093048779228,31.1875556075358
"27",7,3,25.9218479374799,32.7242003843734,35.2277085767589
"28",7,4,32.799122374556,40.5570869869658,39.8023049349737
"29",8,1,12.3976417453239,17.320776475312,18.9506775190047
"30",8,2,40.5827829911154,49.4223040901086,49.8947908201578
"31",8,3,26.7644491637453,33.6838828744252,33.7521691054111
"32",8,4,15.1301563171272,20.4329798600537,16.1833626335466
"33",9,1,42.0894126377034,51.1382831864504,52.2819889428364
"34",9,2,21.644631047713,27.8526549518372,25.3372640621595
"35",9,3,41.2709534239438,50.2060972937857,51.0332439375301
"36",9,4,16.587880447186,22.0932579125126,21.6919365975733
"37",10,1,20.2437508594165,26.2571194298593,27.7566985147852
"38",10,2,56.7797123401839,67.869831822533,66.2768957852512
"39",10,3,43.6374094607193,52.9013775179035,54.7418494996026
"40",10,4,21.6214738865421,27.8262800530092,30.4955273936359
"41",11,1,10.5982295538535,15.2713320658924,14.0271950145363
"42",11,2,32.9516500977927,40.7308087674177,39.8200936861479
"43",11,3,36.2299502163713,44.4646357817441,44.1326443379156
"44",11,4,5.92285506157271,9.94630417035616,9.51000998553649
"45",12,1,22.5220879886786,28.8520364335747,26.1630916495604
"46",12,2,27.7384591570936,34.7932336641158,36.7758098982573
"47",12,3,42.1147952131585,51.167192725693,48.5450464931929
"48",12,4,20.2477104324411,26.2616291941242,28.8536896339777
"49",13,1,44.6747883725983,54.0829024744855,59.3059557067793
"50",13,2,20.9897042125668,27.1067246156797,27.7242590764632
"51",13,3,49.2038581517029,59.241296300345,58.7959767460606
"52",13,4,18.9860858670672,24.8246991652246,24.0256843172135
"53",14,1,33.844573712093,41.7478060502198,39.2175763575352
"54",14,2,23.2986030881782,29.7364499865355,27.2385839437104
"55",14,3,27.9574038020666,35.0426011413059,34.9776286211765
"56",14,4,24.2720588696161,30.8451695553715,28.1738325757669
"57",15,1,32.1561217925467,39.8247400826272,40.036914638557
"58",15,2,19.2796548460825,25.1590601891601,23.4052483841361
"59",15,3,40.0157310341801,48.7764590366516,49.7529831387443
"60",15,4,36.8528849167953,45.1741286068283,44.5449445217602
"61",16,1,34.887225981539,42.9353371088143,43.1884220456903
"62",16,2,24.0837954158108,30.630746487256,30.5869847950031
"63",16,3,31.8283507380251,39.4514245307803,39.2746498528728
"64",16,4,33.5526166079403,41.4152808746473,44.9897608499265
"65",17,1,24.4930915278824,31.0969151798205,31.5590810266744
"66",17,2,30.1628384816188,37.5544857421626,35.2172876745456
"67",17,3,-1.23659079108427,1.79203782336644,3.21867915301988
"68",17,4,17.8741895580375,23.5583024579015,23.8686783083834
"69",18,1,31.1767265922842,38.7092557998681,39.0307995819945
"70",18,2,49.4851384775841,59.5616611362006,61.735923435031
"71",18,3,27.7797159330304,34.840223158349,36.6389536061733
"72",18,4,18.297348441248,24.0402601836537,20.3100102478548
"73",19,1,32.3513357046266,40.0470793902354,38.7346235591426
"74",19,2,15.7364838161135,21.1235578771224,23.3416210319266
"75",19,3,25.536842825118,32.2856979784942,32.2790251067582
"76",19,4,43.8523580164701,53.1461936406265,52.4635387528109
"77",20,1,21.982428655212,28.2373902678952,27.6650235220651
"78",20,2,43.4375128789971,52.6737048735731,50.9305825633968
"79",20,3,37.5078061097105,45.9200525167546,45.2445027496762
"80",20,4,22.2340315011176,28.5239538737103,30.135930440861
"81",21,1,41.3222180332286,50.2644852314677,49.2925065543994
"82",21,2,39.8118163565476,48.5442099732888,48.8902121156977
"83",21,3,39.1374209470221,47.776105862212,50.1213663306392
"84",21,4,39.4158475208475,48.0932204109881,46.8995200653288
"85",22,1,26.5393288592191,33.4274816164226,34.3488175541255
"86",22,2,20.2395639215858,26.2523507079565,26.8427872488946
"87",22,3,22.7583105824793,29.1210826679718,28.9306177323289
"88",22,4,34.4449003681518,42.4315493942504,42.2194150680637
"89",23,1,21.8493542807048,28.0858249210761,28.3408997033515
"90",23,2,22.5107644616243,28.839139477932,31.8716250470715
"91",23,3,18.7018865209104,24.5010097049093,24.3625351219829
"92",23,4,16.8333196043613,22.3728013717099,21.0530315968229
"93",24,1,25.5892407986581,32.3453767638475,33.761093454477
"94",24,2,42.8143480419252,51.9639499338556,50.2929653161088
"95",24,3,23.4694535711809,29.9310405138735,30.2436009204964
"96",24,4,23.7408295948702,30.2401248233145,35.364549093426
"97",25,1,36.8127601556938,45.1284284233415,43.7879388067826
"98",25,2,14.099190680983,19.2587593177483,19.5363998697302
"99",25,3,21.114622640672,27.2490007296947,28.3644195876227
"100",25,4,20.6495427926635,26.7192970303685,28.3893421404591
"101",26,1,18.0702547757682,23.7816113619228,23.8653039023952
"102",26,2,22.393714867118,28.7058255889727,24.1313181102317
"103",26,3,5.79778322544297,9.8038533319396,12.8083024479606
"104",26,4,36.3325036532864,44.5814392406451,45.0074948140901
"105",27,1,4.95683216644857,8.84605030347217,6.95861753688254
"106",27,2,25.3826546486159,32.1100850212027,31.9156958985316
"107",27,3,17.0552340809533,22.6255513450493,22.0347199639493
"108",27,4,53.0292866301983,63.5982763441894,62.6427177970237
"109",28,1,16.0695360116661,21.5028883959751,22.49035432819
"110",28,2,45.4071504524928,54.9170278502196,54.0290187534994
"111",28,3,27.1934784398984,34.172526696923,34.3337728981118
"112",28,4,25.6441041998248,32.4078635533312,31.6310171934188
"113",29,1,42.9751645155153,52.1471122044593,53.9010618199919
"114",29,2,48.7047407842936,58.6728254946396,56.0100860178701
"115",29,3,38.5191208905909,47.0718916749327,47.3226917691949
"116",29,4,50.5609322262979,60.7869387543257,57.9139849484214
"117",30,1,45.1868870419049,54.6661583620785,55.0353258322056
"118",30,2,15.734006598767,21.120736445065,22.8432583986022
"119",30,3,43.7020756965394,52.9750292671291,52.6039288729036
"120",30,4,15.3370256193448,20.6685940994816,20.7439303923237
"121",31,1,37.7765393524061,46.226126825064,43.1396577087476
"122",31,2,20.1873647388769,26.1928983358507,27.8240486417026
"123",31,3,12.8844323284811,17.8752076634181,17.1787912074663
"124",31,4,11.6941685412635,16.5195541472249,20.5004876879523
"125",32,1,35.4533050741343,43.5800741163261,44.6521950270147
"126",32,2,28.1640843311047,35.2780003771124,34.1282254892855
"127",32,3,36.9810105365828,45.3200575587504,47.7760103366404
"128",32,4,25.9851412576799,32.7962884483826,32.1525987598689
"129",33,1,39.964787995003,48.7184373519397,46.979883047183
