"","sim.num","sample.num","incr.num","sim.value"
"1",1,1,1,1457.56913939453
"2",1,2,1,584.272529677932
"3",1,3,1,697.680666678816
"4",1,4,1,828.581068642566
"5",2,1,1,685.617084207513
"6",2,2,1,964.813363883064
"7",2,3,1,1070.12849823319
"8",2,4,1,703.605939846677
"9",3,1,1,1323.92896496018
"10",3,2,1,453.241441844125
"11",3,3,1,874.238514199637
"12",3,4,1,652.821003045808
"13",4,1,1,971.789731139338
"14",4,2,1,820.859577430728
"15",4,3,1,601.734174841755
"16",4,4,1,823.835782241898
"17",5,1,1,702.417428854556
"18",5,2,1,1063.34733057861
"19",5,3,1,1259.34616119464
"20",5,4,1,1747.32243500785
"21",6,1,1,332.041753679746
"22",6,2,1,1328.88863414012
"23",6,3,1,565.635929219414
"24",6,4,1,802.27909525788
"25",7,1,1,711.640786509926
"26",7,2,1,934.726754835284
"27",7,3,1,958.271663899656
"28",7,4,1,716.205005952742
"29",8,1,1,550.376657121491
"30",8,2,1,489.22111286677
"31",8,3,1,490.242230307018
"32",8,4,1,653.172684165382
"33",9,1,1,1937.65233436708
"34",9,2,1,425.502350034329
"35",9,3,1,505.906093116242
"36",9,4,1,329.632216184869
"37",10,1,1,1990.23361950112
"38",10,2,1,409.03491381649
"39",10,3,1,1273.46708593852
"40",10,4,1,1023.29799301497
"41",11,1,1,752.794814336299
"42",11,2,1,691.032164146015
"43",11,3,1,1271.31661262007
"44",11,4,1,614.493325665533
"45",12,1,1,596.000914162798
"46",12,2,1,544.430573032087
"47",12,3,1,1013.51484399193
"48",12,4,1,889.210997640656
"49",13,1,1,1132.11191772169
"50",13,2,1,744.68478734029
"51",13,3,1,837.202663691374
"52",13,4,1,803.111212313128
"53",14,1,1,581.446671648812
"54",14,2,1,917.589091715706
"55",14,3,1,477.258271651854
"56",14,4,1,770.150919186318
"57",15,1,1,868.840110361896
"58",15,2,1,744.350402700493
"59",15,3,1,1453.3105428481
"60",15,4,1,690.574034760581
"61",16,1,1,967.189900826212
"62",16,2,1,934.984722088739
"63",16,3,1,980.282618869265
"64",16,4,1,629.646166324621
"65",17,1,1,454.504643560679
"66",17,2,1,618.053416398246
"67",17,3,1,926.532829908245
"68",17,4,1,945.997012700246
"69",18,1,1,782.355931973269
"70",18,2,1,902.629592147758
"71",18,3,1,878.78710832343
"72",18,4,1,918.818664851021
"73",19,1,1,819.047267817078
"74",19,2,1,498.263662125818
"75",19,3,1,1101.17566758451
"76",19,4,1,756.346243437063
"77",20,1,1,1468.06004551222
"78",20,2,1,1431.40026405879
"79",20,3,1,667.485366494782
"80",20,4,1,1027.30084177441
"81",21,1,1,506.101104001683
"82",21,2,1,938.131527307888
"83",21,3,1,835.013616133906
"84",21,4,1,1370.89996164775
"85",22,1,1,1140.31978870605
"86",22,2,1,809.04620685663
"87",22,3,1,751.119931810257
"88",22,4,1,309.310228503654
"89",23,1,1,772.895734193373
"90",23,2,1,375.806603272802
"91",23,3,1,456.2754769285
"92",23,4,1,1163.43992810308
"93",24,1,1,778.128714805216
"94",24,2,1,615.531851095114
"95",24,3,1,908.273000097079
"96",24,4,1,731.199254846386
"97",25,1,1,1266.78610108811
"98",25,2,1,508.416879636036
"99",25,3,1,838.394399312564
"100",25,4,1,631.499484262903
"101",26,1,1,815.581346972452
"102",26,2,1,1130.58327794542
"103",26,3,1,705.186602619576
"104",26,4,1,437.535057978648
"105",27,1,1,1031.60585347016
"106",27,2,1,899.380556474963
"107",27,3,1,718.714664732414
"108",27,4,1,496.725086876728
"109",28,1,1,861.917464921632
"110",28,2,1,818.620432587388
"111",28,3,1,1335.44944672435
"112",28,4,1,546.161860837771
"113",29,1,1,887.125618071317
"114",29,2,1,929.718152916406
"115",29,3,1,1020.25624186099
"116",29,4,1,835.36844403988
"117",30,1,1,817.045808787781
